0|0|0|5|0
4|2|0|5|0
11|2|0|5|0
41|0|0|5|0
42|0|0|5|0
60|0|2|16|0
90|0|1|3|0
101|0|2|4|0
103|0|2|13|0
110|0|2|20|0
118|0|0|5|0
120|0|0|5|0
130|5|0|5|0
131|0|2|17|0
131|1|0|5|0
143|0|0|5|0
173|0|2|8|0
175|0|1|11|0
175|0|2|15|0
175|0|2|12|0
183|0|2|6|0
183|0|2|23|0
203|0|2|2|0
204|5|2|9|0
205|0|2|9|0
216|0|2|7|0
221|0|0|5|0
226|0|2|20|0
235|0|2|1|0
270|0|2|10|0
279|0|2|18|0
281|0|0|5|1
283|3|0|5|0
305|0|0|5|0
306|0|0|5|0
309|0|1|24|0
310|0|1|22|0
313|0|2|8|0
314|0|2|12|0
315|0|2|1|0
338|5|2|19|0
339|0|2|19|0
341|0|2|14|0
354|5|0|5|0
355|5|0|5|0
355|0|2|21|0
356|5|0|5|0
357|5|0|5|0
358|0|0|5|0
359|5|0|5|0
364|5|0|5|0
365|0|0|5|0
425|0|2|16|0
426|0|0|5|0
427|0|0|5|0
455|0|1|3|0
466|0|2|4|0
468|0|2|13|0
472|0|0|5|0
475|0|2|20|0
485|0|0|5|0
494|5|0|5|0
495|1|0|5|0
496|0|2|17|0
508|0|0|5|0
527|1|0|5|0
530|1|0|5|0
535|1|0|5|0
538|0|2|8|0
540|0|2|12|0
540|0|2|15|0
540|0|1|11|0
540|1|0|5|0
543|1|0|5|0
544|1|0|5|0
545|1|0|5|0
546|1|0|5|0
548|0|2|6|0
548|0|2|23|0
549|1|0|5|0
550|1|0|5|0
553|1|0|5|0
554|1|0|5|0
557|1|0|5|0
558|1|0|5|0
568|0|2|2|0
569|5|2|9|0
570|0|2|9|0
581|0|2|7|0
586|0|0|5|0
591|0|2|20|0
600|0|2|1|0
635|0|2|10|0
644|0|2|18|0
646|0|0|5|1
647|3|0|5|0
670|0|0|5|0
671|0|0|5|0
674|0|1|24|0
675|0|1|22|0
678|0|2|8|0
679|0|2|12|0
680|0|2|1|0
696|1|0|5|0
699|1|0|5|0
703|5|2|19|0
704|0|2|19|0
706|0|2|14|0
718|2|0|5|0
719|5|0|5|0
720|0|2|21|0
720|5|0|5|0
721|5|0|5|0
722|5|0|5|0
723|0|0|5|0
724|4|0|5|0
724|5|0|5|0
729|5|0|5|0
730|0|0|5|0
731|4|0|5|0
739|2|0|5|0
776|0|0|5|0
777|0|0|5|0
790|0|2|16|0
820|0|1|3|0
822|0|0|5|0
831|0|2|4|0
833|0|2|13|0
840|0|2|20|0
850|0|0|5|0
858|5|0|5|0
859|1|0|5|0
861|0|2|17|0
873|0|0|5|0
903|0|2|8|0
905|0|2|15|0
905|0|1|11|0
905|0|2|12|0
913|0|2|6|0
913|0|2|23|0
933|0|2|2|0
934|0|2|9|0
935|0|2|9|0
946|0|2|7|0
951|0|0|5|0
956|0|2|20|0
965|0|2|1|0
1000|0|2|10|0
1009|0|2|18|0
1011|0|0|5|0
1035|0|0|5|0
1036|0|0|5|0
1039|0|1|24|0
1040|0|1|22|0
1043|0|2|8|0
1044|0|2|12|0
1045|0|2|1|0
1060|1|0|5|0
1063|1|0|5|0
1068|5|2|19|0
1069|0|2|19|0
1071|0|2|14|0
1084|5|0|5|0
1085|5|0|5|0
1085|0|2|21|0
1086|5|0|5|0
1087|5|0|5|0
1088|0|0|5|0
1089|5|0|5|0
1094|5|0|5|0
1095|0|0|5|0
1133|0|0|5|0
1134|0|0|5|0
1156|0|2|16|0
1179|0|0|5|0
1186|0|1|3|0
1197|0|2|4|0
1199|0|2|13|0
1201|1|0|5|0
1202|1|0|5|0
1203|1|0|5|0
1204|1|0|5|0
1205|1|0|5|0
1206|0|2|20|0
1206|1|0|5|0
1207|1|0|5|0
1208|1|0|5|0
1209|1|0|5|0
1210|1|0|5|0
1211|1|0|5|0
1212|1|0|5|0
1213|1|0|5|0
1214|1|0|5|0
1215|1|0|5|0
1216|0|0|5|0
1216|1|0|5|0
1217|1|0|5|0
1218|1|0|5|0
1219|1|0|5|0
1220|1|0|5|0
1221|1|0|5|0
1222|5|0|5|0
1222|1|0|5|0
1223|1|0|5|0
1223|1|0|5|0
1224|1|0|5|0
1225|1|0|5|0
1226|1|0|5|0
1227|0|2|17|0
1227|1|0|5|0
1228|1|0|5|0
1229|1|0|5|0
1230|1|0|5|0
1231|1|0|5|0
1239|0|0|5|1
1242|3|0|5|0
1269|0|2|8|0
1271|0|2|15|0
1271|0|1|11|0
1271|0|2|12|0
1279|0|2|6|0
1279|0|2|23|0
1299|0|2|2|0
1300|5|2|9|0
1300|3|2|9|0
1301|0|2|9|1
1312|0|2|7|0
1317|0|0|5|1
1319|3|0|5|0
1322|0|2|20|0
1331|0|2|1|0
1366|0|2|10|0
1375|0|2|18|0
1377|0|0|5|0
1401|0|0|5|0
1402|0|0|5|0
1403|4|0|5|0
1405|0|1|24|0
1406|0|1|22|0
1409|0|2|8|0
1410|0|2|12|0
1411|0|2|1|0
1411|2|0|5|0
1424|1|0|5|0
1427|1|0|5|0
1434|5|2|19|0
1435|0|2|19|0
1437|0|2|14|0
1450|5|0|5|0
1451|5|0|5|0
