1|19|13|3|13
2|19|13|3|13
3|19|13|3|8
4|19|13|3|9
5|22|15|3|4
6|19|13|3|13
7|19|13|3|8
8|19|13|3|8
9|19|13|1|6
10|19|13|2|15
11|3|13|1|6
12|11|4|2|15
13|11|4|2|15
14|20|3|2|7
15|10|8|2|15
16|22|15|2|3
17|19|13|2|12
18|19|13|1|16
19|8|2|2|15
20|19|13|1|6
21|22|15|1|6
22|17|12|2|7
23|1|16|3|9
24|9|7|3|1
25|21|14|3|1
26|9|7|3|10
27|5|7|3|1
28|9|7|4|10
29|9|7|4|10
30|9|7|2|3
31|2|10|1|10
32|9|7|2|3
33|18|10|2|3
34|9|7|1|6
35|16|7|2|3
36|12|7|4|10
37|4|1|3|2
38|13|9|3|4
39|4|1|1|6
40|14|5|2|3
41|14|5|3|4
42|4|1|3|2
43|7|6|4|10
44|19|13|0|5
45|19|13|0|11
46|19|13|0|14
47|19|13|0|14
48|19|13|0|14
49|19|13|0|11
50|1|16|0|14
51|9|7|0|17
52|15|11|0|11
53|15|11|3|13
54|6|11|2|3
